页面/位置,模块名称,资产类型,视觉描述/构图逻辑,必须包含的要素,参考风格,拍摄目的
首页 Hero,品牌总览,视频 (Loop),暗色调背景，镜头从工具表面极近距离滑过，展示钢材冷冽的质感，最后三个工具咔哒一声合体。,"钢材拉丝纹路、Survival72 Logo、橙色指示灯",Victorinox "Brilliant Innovation" 视频,建立品牌第一印象：高端、机械、精密
首页 Problem,痛点对比,分屏图片,左侧：廉价多功能钳断裂/生锈的模糊画面。右侧：Survival72 钳头在极端扭力下纹丝不动的清晰特写。,"断裂对比、扭力张力感、低饱和度色调",Spyderco 专业对比图,通过视觉反差建立“可靠性”信任
首页 System,模块化系统,图片 (爆炸图),三个工具模块悬浮在空中，中间是精英礼盒，光线从侧后方打入，形成高级的轮廓光。,"Pliers, Wrench, Axe 展开态、磁吸包装盒、阴影层次",Victorinox 全工具展开图,展示“模块化”这一核心卖点
产品页 (PDP),主图 (Hero),图片 (45度侧写),工具处于半打开状态，展示其机械结构。背景为纯白或极浅灰色，阴影柔和。,"工业级打光、产品全貌、清晰度",Victorinox 珠宝级打光,展示产品的高端定位与精致做工
产品页 (PDP),细节特写 (Macro),图片 (微距),极近距离拍摄钳头的锯齿、扳手的刻度、手斧的刃口。,"钢材标号刻字、机械咬合点、金属光泽",Spyderco 细节特写,传递专业、精准的参数信息
产品页 (PDP),使用场景 (Lifestyle),图片,在越野车引擎盖上或户外营地桌面上，工具与手套、钥匙、地图摆放在一起，自然光照明。,"真实手部抓握、户外氛围、橙色点缀",Spyderco "Real EDC" 风格,建立产品的使用场景与尺寸感知
产品页 (PDP),功能演示,短视频 (15s),展示工具快速更换模块的过程，强调“磁吸”或“卡扣”的清脆声。,"动作流畅性、清脆的机械声 (ASMR)、单手操作",Victorinox 功能演示视频,解决“好不好用”的疑虑
包装模块,礼盒展示,图片,侧拍磁吸翻盖盒打开的瞬间，展示内部 EVA 内衬对工具的完美包裹。,"2mm灰板质感、黑色绒面EVA、包装盒厚度感",Apple 包装展示风格,提升溢价感，支撑 $145 的定价
About 页面,创始人手稿/工作室,图片,桌面上摆放着设计草图、工具原型和 Cole Mercer 的手稿，光线温暖而专业。,"手写草图、拆解的工具零件、创始人签名",Spyderco 研发背后故事,建立品牌背书与创始人人格化连接
Gift Sets,礼赠氛围,图片,礼盒在低光照下，表面有一层薄薄的雾气或高级的光斑，强调“给男人的终极礼物”。,"送礼仪式感、高端质感、Elite 标签",高端腕表礼盒风格,引导礼赠购买行为
